NC_008751.1 Desulfovibrio vulgaris DP4, complete genome
NZ_ATKF01000105.1 Fusobacterium hwasookii ChDC F174 Contig105, whole genome shotgun sequence
NZ_ATKF01000106.1 Fusobacterium hwasookii ChDC F174 Contig106, whole genome shotgun sequence
NZ_ATKF01000107.1 Fusobacterium hwasookii ChDC F174 Contig107, whole genome shotgun sequence
NZ_ATKF01000108.1 Fusobacterium hwasookii ChDC F174 Contig108, whole genome shotgun sequence
NZ_ATKF01000109.1 Fusobacterium hwasookii ChDC F174 Contig109, whole genome shotgun sequence
NZ_ATKF01000110.1 Fusobacterium hwasookii ChDC F174 Contig110, whole genome shotgun sequence
NZ_ATKF01000111.1 Fusobacterium hwasookii ChDC F174 Contig111, whole genome shotgun sequence
NZ_ATKF01000112.1 Fusobacterium hwasookii ChDC F174 Contig112, whole genome shotgun sequence
NZ_ATKF01000113.1 Fusobacterium hwasookii ChDC F174 Contig113, whole genome shotgun sequence
NZ_ATKF01000114.1 Fusobacterium hwasookii ChDC F174 Contig114, whole genome shotgun sequence
NZ_ATKF01000115.1 Fusobacterium hwasookii ChDC F174 Contig115, whole genome shotgun sequence
NZ_ATKF01000116.1 Fusobacterium hwasookii ChDC F174 Contig116, whole genome shotgun sequence
NZ_ATKF01000117.1 Fusobacterium hwasookii ChDC F174 Contig117, whole genome shotgun sequence
NZ_ATKF01000118.1 Fusobacterium hwasookii ChDC F174 Contig118, whole genome shotgun sequence
NZ_KI965381.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.1, whole genome shotgun sequence
NZ_KI965382.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.10, whole genome shotgun sequence
NZ_KI965383.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.11, whole genome shotgun sequence
NZ_KI965384.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.12, whole genome shotgun sequence
NZ_KI965385.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.13, whole genome shotgun sequence
NZ_KI965386.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.2, whole genome shotgun sequence
NZ_KI965387.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.3, whole genome shotgun sequence
NZ_KI965388.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.4, whole genome shotgun sequence
NZ_KI965389.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.5, whole genome shotgun sequence
NZ_KI965390.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.6, whole genome shotgun sequence
NZ_KI965391.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.7, whole genome shotgun sequence
NZ_KI965392.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.8, whole genome shotgun sequence
NZ_KI965393.1 Fusobacterium nucleatum 13_3C adlCx-supercont1.9, whole genome shotgun sequence
NZ_JANA01000001.1 Fusobacterium sp. OBRC1 ctgN310L54181C40.3705, whole genome shotgun sequence
NZ_JANA01000002.1 Fusobacterium sp. OBRC1 ctgN309L9174C40.1342, whole genome shotgun sequence
NZ_JANA01000003.1 Fusobacterium sp. OBRC1 ctgN346L15681C39.4567, whole genome shotgun sequence
NZ_JANA01000004.1 Fusobacterium sp. OBRC1 ctgN294L45156C40.6118, whole genome shotgun sequence
NZ_JANA01000005.1 Fusobacterium sp. OBRC1 ctgN354L20571C40.9755, whole genome shotgun sequence
NZ_JANA01000006.1 Fusobacterium sp. OBRC1 ctgN269L27984C40.4869, whole genome shotgun sequence
NZ_JANA01000007.1 Fusobacterium sp. OBRC1 ctgN365L1796C37.2906, whole genome shotgun sequence
NZ_JANA01000008.1 Fusobacterium sp. OBRC1 ctgN300L7466C37.1617, whole genome shotgun sequence
NZ_JANA01000009.1 Fusobacterium sp. OBRC1 ctgN281L30261C40.2279, whole genome shotgun sequence
NZ_JANA01000010.1 Fusobacterium sp. OBRC1 ctgN355L20670C40.7435, whole genome shotgun sequence
